Nilai Pajak,Jenis Penerimaan Pajak,Kota/Kab,Predicted_Cluster
35632762617,PPh Pasal 26,Kabupaten Minahasa,3
95254235394,PPh Final,Kabupaten Siau Tagulandang Biaro,2
84923631192,PPN Dalam Negeri,Kota Kotamobagu,0
52802897279,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
38512356301,PPh Pasal 22,Kabupaten Bolaang Mongondow Selatan,3
18155968868,PPh Pasal 21,Kabupaten Minahasa,5
90683771477,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Utara,5
96483304020,PPh Pasal 25/29 Badan,Kabupaten Minahasa,3
28618623340,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
66868640124,PPh Final,Kabupaten Bolaang Mongondow Utara,2
39976642552,PPh Migas,Kota Kotamobagu,1
16263905794,PPN Impor,Kabupaten Bolaang Mongondow Selatan,3
85071712445,PPh Migas,Kabupaten Siau Tagulandang Biaro,3
48925527156,PPN Lainnya,Kabupaten Minahasa Selatan,3
77352203097,PPh Migas,Kabupaten Minahasa,3
11160052605,PBB dan BPHTB,Kabupaten Minahasa,3
85764428444,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow,1
58646714537,Pajak Lainnya,Kabupaten Minahasa Selatan,3
20825052934,PPN Impor,Kabupaten Bolaang Mongondow Utara,5
8006595382,PPh Final,Kota Tomohon,2
46478257439,PPh Pasal 23,Kabupaten Minahasa Utara,3
1968266373,Pajak Lainnya,Kabupaten Minahasa Utara,3
89670299093,PPh Pasal 26,Kota Kotamobagu,1
95411022671,PPN Impor,Kabupaten Kepulauan Talaud,3
6073615477,PBB dan BPHTB,Kabupaten Bolaang Mongondow Utara,3
95650422450,PPh Migas,Kabupaten Minahasa Selatan,3
88229802614,PPnBM Lainnya,Kabupaten Minahasa,3
43039947222,Pendapatan PPh DTP,Kabupaten Minahasa Selatan,3
16489284869,PPh Pasal 22 Impor,Kota Bitung,3
42513328939,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Utara,5
18054848197,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Talaud,3
22217794962,PPN Dalam Negeri,Kota Bitung,0
35194662019,PPnBM Lainnya,Kabupaten Siau Tagulandang Biaro,4
78643727191,PPh Final,Kabupaten Bolaang Mongondow Timur,2
9240801287,PPN Impor,Kota Bitung,3
36933115489,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
4158440714,PPh Pasal 26,Kabupaten Kepulauan Talaud,3
60315220072,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
12157071042,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
58790731606,PPh Pasal 26,Kota Kotamobagu,1
63192846026,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
19431066202,PPh Pasal 26,Kota Tomohon,1
84859521543,PPnBM Lainnya,Kabupaten Siau Tagulandang Biaro,4
79197300625,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
5965210300,PPN Impor,Kabupaten Bolaang Mongondow Utara,5
80907386506,PPN Impor,Kota Tomohon,0
56277109238,PPN Impor,Kabupaten Kepulauan Talaud,3
60365451387,PPh Pasal 26,Kabupaten Kepulauan Sangihe,1
83271071998,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
81756378333,PPh Pasal 21,Kabupaten Minahasa Selatan,5
22561999652,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
47414909340,PPnBM Lainnya,Kabupaten Bolaang Mongondow Selatan,3
70446597493,PPh Pasal 22,Kabupaten Minahasa,3
83319977290,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
45371924878,PPh Final,Kabupaten Kepulauan Talaud,2
49658811607,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
95004369071,PPN Lainnya,Kabupaten Minahasa Selatan,3
76202828650,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
98053515969,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
76696439181,PPh Pasal 23,Kabupaten Minahasa Utara,3
99871903995,PPN Lainnya,Kabupaten Minahasa,3
15734956932,PBB dan BPHTB,Kabupaten Bolaang Mongondow Timur,3
31974294840,PPh Migas,Kabupaten Bolaang Mongondow,1
62985147601,PBB dan BPHTB,Kota Bitung,3
4595832726,PPN Dalam Negeri,Kabupaten Bolaang Mongondow,0
93143494251,PBB dan BPHTB,Kabupaten Minahasa Utara,3
77991199725,PPh Pasal 21,Kabupaten Bolaang Mongondow Timur,5
1956009665,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
89143478262,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Selatan,3
28224975056,PPnBM Lainnya,Kabupaten Bolaang Mongondow Selatan,3
43715970349,PPh Migas,Kabupaten Minahasa Tenggara,3
67354873271,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
92180060411,PPN Dalam Negeri,Kota Bitung,0
89752126319,PPN Impor,Kabupaten Bolaang Mongondow Selatan,3
97362044181,PPh Pasal 26,Kabupaten Minahasa Selatan,3
27224304467,PPh Pasal 23,Kota Tomohon,5
20911163660,PPh Pasal 22 Impor,Kota Tomohon,0
21836818558,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Timur,3
11915276920,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
63547496844,PPh Pasal 21,Kabupaten Bolaang Mongondow Utara,5
96975999378,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
18567997544,PPh Pasal 22 Impor,Kabupaten Minahasa,3
23486015384,PPN Impor,Kabupaten Bolaang Mongondow,1
8773524648,Pendapatan PPh DTP,Kota Kotamobagu,1
62393356025,PPh Pasal 26,Kabupaten Minahasa Selatan,3
84988876244,PPh Pasal 22,Kota Kotamobagu,3
43384934757,PPN Lainnya,Kabupaten Bolaang Mongondow Utara,5
61793012525,PPh Pasal 22,Kabupaten Minahasa Tenggara,3
87523803511,PPh Pasal 25/29 Badan,Kabupaten Minahasa Tenggara,3
38607780783,PPh Migas,Kabupaten Kepulauan Talaud,3
65872834567,PPN Dalam Negeri,Kabupaten Minahasa Tenggara,0
12017149920,PPh Pasal 22,Kabupaten Siau Tagulandang Biaro,3
58035359489,PPN Impor,Kabupaten Minahasa Selatan,3
50921328467,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
61439073965,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Selatan,3
34022962383,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
20344100036,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
37606412415,PBB dan BPHTB,Kota Kotamobagu,3
63623984243,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
19883088850,PPh Migas,Kabupaten Minahasa Tenggara,3
32148155863,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
71428872877,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
52133858238,PPh Migas,Kabupaten Kepulauan Sangihe,2
20994724113,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
53948500239,PPh Final,Kota Bitung,2
58257700663,PPN Dalam Negeri,Kota Bitung,0
92972065118,PPh Migas,Kabupaten Kepulauan Talaud,3
30959717544,PPnBM Lainnya,Kabupaten Kepulauan Sangihe,2
96753397127,PPnBM Lainnya,Kabupaten Siau Tagulandang Biaro,4
49719631068,PPnBM Lainnya,Kabupaten Minahasa Utara,3
82124350201,PBB dan BPHTB,Kota Bitung,3
26953247208,Pendapatan PPh DTP,Kabupaten Kepulauan Talaud,3
11359097030,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
15203164468,PPh Pasal 22,Kota Bitung,3
67410939383,PPnBM Lainnya,Kabupaten Siau Tagulandang Biaro,4
53530907343,PPh Pasal 25/29 Badan,Kabupaten Minahasa Utara,3
64781811439,PPh Pasal 22 Impor,Kota Bitung,3
4799097680,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
53432540708,PPh Pasal 21,Kabupaten Siau Tagulandang Biaro,5
24432930617,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
37429595779,PPh Final,Kabupaten Bolaang Mongondow Timur,2
57244787964,PPh Migas,Kota Tomohon,0
13449155780,PPh Pasal 26,Kabupaten Siau Tagulandang Biaro,3
27306162218,PPh Pasal 21,Kabupaten Bolaang Mongondow Selatan,5
95435938765,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
7178425624,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
3601583907,PBB dan BPHTB,Kabupaten Bolaang Mongondow Timur,3
17977208829,PPnBM Lainnya,Kabupaten Bolaang Mongondow Selatan,3
52888668442,PPnBM Lainnya,Kota Tomohon,0
1240324054,PBB dan BPHTB,Kabupaten Minahasa Utara,3
78271440826,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Timur,3
29437065312,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow,0
26175256211,PPN Lainnya,Kabupaten Siau Tagulandang Biaro,3
39816407065,PPN Impor,Kabupaten Minahasa,3
16363250506,PPnBM Lainnya,Kabupaten Kepulauan Talaud,3
43384156574,PBB dan BPHTB,Kabupaten Minahasa,3
62953095316,Pajak Lainnya,Kota Tomohon,1
69563178508,PPN Impor,Kota Kotamobagu,1
77113759372,PPh Pasal 21,Kabupaten Kepulauan Sangihe,5
43846827660,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
83476171494,PPh Pasal 26,Kabupaten Bolaang Mongondow Timur,9
20876028795,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
67624189453,PBB dan BPHTB,Kabupaten Minahasa,3
30071594927,Pajak Lainnya,Kabupaten Minahasa Tenggara,6
46710046067,PPN Lainnya,Kota Kotamobagu,1
55558391544,PPh Pasal 23,Kabupaten Minahasa Utara,3
94265382445,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
39193617025,Pajak Lainnya,Kota Kotamobagu,1
53974714017,PPh Pasal 22 Impor,Kota Bitung,3
91633128713,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
19126349045,PPN Dalam Negeri,Kota Bitung,0
80052549228,PBB dan BPHTB,Kota Tomohon,0
54996561916,PPh Pasal 25/29 OP,Kabupaten Kepulauan Talaud,3
91059793304,PPN Impor,Kabupaten Minahasa,3
17560424984,PPh Pasal 23,Kabupaten Minahasa Utara,3
92327388991,PPh Pasal 25/29 Badan,Kabupaten Minahasa Selatan,3
43075448299,Pendapatan PPh DTP,Kota Kotamobagu,1
14909193250,PPnBM Lainnya,Kabupaten Minahasa Selatan,3
76321659595,PPN Lainnya,Kabupaten Minahasa Tenggara,4
19421402176,Pajak Lainnya,Kabupaten Minahasa Tenggara,6
47718138228,PPh Final,Kabupaten Bolaang Mongondow Timur,2
42829954390,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
32022852830,PPh Pasal 22 Impor,Kota Kotamobagu,1
24550870123,PPnBM Lainnya,Kabupaten Kepulauan Talaud,3
77281122246,PPh Pasal 25/29 Badan,Kota Tomohon,0
13199969777,PBB dan BPHTB,Kabupaten Bolaang Mongondow Timur,3
21437644434,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
45543791150,PPN Impor,Kabupaten Minahasa Utara,3
5400023395,PPh Pasal 22 Impor,Kabupaten Minahasa Utara,3
19371476430,PBB dan BPHTB,Kota Kotamobagu,3
